title,pub_date
"A book written by Thomas Friedman, an Op-Ed columnist for The New York Times, won the inaugural Financial Times and Goldman Sachs Business Book of the Year Award yesterday.     The book, ''The World Is Flat,'' contends that the explosion of technology and outsourcing is erasing national boundaries and thus ''flattening'' the world. The award was announced at the Royal Institute of British Architects in London.  ",2005-11-23T05:00:00+0000
,2005-11-25T05:00:00+0000
" To the Editor:     As an author, I certainly want my copyrights honored. Yet I hope Google finds some way to proceed with and even add to its Book Search program, and work out its differences with the world of hard-copy print media (''Googling Literature: The Debate Goes Public,'' Arts pages, Nov. 18).      I think it's to everyone's advantage for copyrighted literature, too, to be available on the Internet. A book could be downloaded, for example, for a small fee, once the search engine has pointed to that work as a research tool.  ",2005-11-25T05:00:00+0000
"Adam Cohen Editorial Observer calls upon Google to develop overarching privacy theory that is as bold as its mission to make world's information accessible, one that can become model for online world; cites examples of egregious invasions that occur in its aggressive collection of data about users' online activities",2005-11-28T05:00:00+0000
" INTERNATIONAL   A3-12    10 Accused of Plot to Kill Judge in Hussein Case  Less than 24 hours before Saddam Hussein's scheduled return to court on charges of crimes against humanity, the police in northern Iraq said they had arrested ten Sunni Arab men carrying orders from a fugitive associate of Mr. Hussein's for the assassination of the court's best-known judge.   A1    In private conversations, American officials are beginning to acknowledge that a judgment about when withdrawals from Iraq can begin is driven by two political calendars -- one in Iraq and one in the United States -- as much as by military assessments. The final decision could hinge on whether the new Iraqi government, scheduled to be elected in less than three weeks, issues its own call for an American pullout.   A1    Graft Endangers Caspian Fish  Although international and domestic regulations protect the sturgeon on paper, manifest lawlessness and graft in the Caspian region have led to unchecked fishing and struggling hatcheries.   A1    Chinese Legal System Tested  A 2003 ruling that struck down a local law on seed prices has become, quite unexpectedly, a landmark case for the evolving Chinese legal system, and exposed the limits on judicial autonomy in China and the political retribution faced by judges.   A1    Iran Hit by Powerful Quake  A powerful earthquake hit southern Iran, causing major destruction in seven villages, killing 10 people and injuring 80. The tremor shook Oman and the United Arab Emirates as well, forcing many office workers to evacuate their buildings.   A6    Banned Egyptian Party Gains  The banned Muslim Brotherhood has demonstrated in the latest Parliamentary elections that it is by far the strongest Egyptian opposition group, trouncing the secular political opposition and weakening the governing party's power monopoly.   A3    Zimbabwe Party Shows Power  Zimbabwe's ruling party predictably appeared assured of an overwhelming victory as officials tallied the results of a record low turnout in this weekend's election for the newly created upper house of Parliament.   A9    Muslim Leaders Skip Meeting  The European Union opened a two-day conference in Barcelona aimed at renewing its commitment to developing and democratizing Muslim nations on the Mediterranean's southern rim -- a summit meeting marked by the absence of many of the North African and Middle Eastern leaders who had originally agreed to attend.   A9    Crime Central to Honduras Vote  A continuing problem of violent crime, most of it attributed to youth gangs, was at the center of presidential elections in Honduras as two wealthy conservative businessmen remained locked in a tight contest to govern one of the poorest nations in Latin America.   A9    NATIONAL   A13-17    Texas Janitors' Drive Gives Unions Hope  Service Employees International Union organizers have obtained what they say is majority support in one of the biggest unionization drives in the South in decades, collecting the signatures of thousands of Houston janitors.   A1    Cheerleaders and Sales  Many pharmaceutical companies are recruiting cheerleaders as sales representatives. Some industry critics view wholesomely sexy drug representatives as a variation on the more tangible gifts that pharmaceutical companies previously dangled to sway doctors to their brands.   A1    Group Rallies for Prisoner  A group called Trial and Error, which claims a membership in the thousands, is trying to free a man convicted 16 years ago of what many consider to be Maine's most notorious crime. Many law enforcement officials, however, remain convinced that he is the killer.   A13    Catholics Split on Gay Priests  Grappling with the implications of a Vatican directive issued last week that would bar most gay men from seminaries, Roman Catholics at parishes around the country offered contrasting interpretations of its impact on the priesthood, on the potential for future sexual abuse by clergy members and on the church itself.   A13    Golf and Archaeology Clash  The Newark Earthworks, a sprawling and complex series of earthen mounds sculpted by the Hopewell Indians 2,000 years ago, is now home of the Moundbuilders Country Club. But the club's plans to double the size of its clubhouse prompted an organized protest.   A15    New Tax Law Pinches Charities  The New Hope Day Center in Lansing, Mich., serves about 100 homeless people a day, providing meals and services like job training and substance abuse counseling. But the shelter could close next year -- a casualty, the operators say, of changes in federal tax laws.   A14    Speaker Disputes Kerry  Representative J. Dennis Hastert, the speaker of the House, is taking issue with statements sent out by Senator John Kerry, saying the senator falsely accused him of labeling Representative John P. Murtha a coward. An adviser to Mr. Kerry said the senator was comfortable with his characterization of the speaker's reaction.   A17    Time Reporter Asked to Testify  A second reporter for Time magazine, Viveca Novak, has been asked to testify under oath in the C.I.A. leak case, about conversations in 2004 with a lawyer for Karl Rove, the magazine reported. The request for Ms. Novak's testimony is a sign that Mr. Fitzgerald has not yet completed his inquiry into Mr. Rove's actions.   A17    Merck to Detail Restructuring  Merck, under pressure from investors and analysts to cut costs and pare thousands of employees from its payroll, said it would soon announce details of its long-awaited restructuring plan.   A16    NEW YORK/REGION   B1-6    Man Pushed to Death In Path of Subway Train  Edison Guzman, a bakery worker from Queens, was killed when a man his family described as a friend and former co-worker threw him into the path of an oncoming subway train during a fight, the police said. Charges against the friend, Richie Molina of Brooklyn, were pending.   B1    Community Resists Change  Gowanus, an industrial neighborhood squeezed amid brownstone Brooklyn, has attracted proposals to convert its factory spaces into residential ones. But many residents want to preserve the urban way of life in Gowanus, where workers lived among their workplaces.   B1    Arrest Prompts Inquiries  Investigators in three states have been examining whether John F. Regan, a man from a prominent Connecticut family recently charged with stalking women, has links to several unsolved sex crimes and murders reaching back nearly two decades.   B1    Neediest Cases   B6    SPORTSMONDAY   D1-9    ARTS   E1-10    Art Institutions in the Home  Two neighbors in Harlem have opened new cultural institutions in their own homes. George Preston turned three floors of his brownstone into the Museum of Art and Origins. Two blocks away, Kurt Thometz converted a room of his own brownstone into Jumel Terrace Books, featuring works on Africana, Harlem history and related topics.   E1    Israeli Director Honored  The Film Society of Lincoln Center is honoring the Israeli director Amos Gitai with a retrospective festival of his major work of the last 25 years. The festival begins this week.   E3    Public Theater Raising Funds  The Public Theater is plannning a benefit fund-raising event for its 50th anniversary celebration. Titled ''The Public Sings,'' theevent will feature artists performing selections from signature Public Theater musicals.   E7    OBITUARIES   B7    BUSINESS DAY   C1-14    Discount Chains Thrive  As the nation's retail executives began poring over, and in some cases, despairing over sales receipts from the holiday weekend, one pattern became clearer: consumers mobbed discount chains, but largely shopped right past other specialty retailers at the mall.   C1    Assessing Spielberg's Value  As NBC Universal closes in on a likely deal to acquire the live-action film business of its longtime partner DreamWorks SKG, one of the transaction's more intriguing questions remains: What will the media conglomerate really get if it picks up one of DreamWorks's most significant assets, the services of the co-founder Steven Spielberg?   C1    Success for Hunan TV  Hunan TV, one of the most powerful television properties in China, has found success by creating zany, off-beat and even risqué entertainment programs in a country still dominated by bland and predictable state-run programming.   C1    Business Digest   C2    EDITORIAL   A18-19    Editorials: An army for the day after; public broadcasting's enemy within; the new Rwanda; Adam Cohen on Google and privacy.    Columns: Bob Herbert, Paul Krugman.    Autos   D109  Bridge   E8  Crossword   E6  Metro Diary   B2  TV Listings   E9  Weather   B9  ",2005-11-28T05:00:00+0000
"Online retailers are offering steep discounts and giveaways to capture customers this holiday season, and early indications are that consumers are responding well to promotions; e-commerce analysts are standing by predictions that online sales will grow about 20 percent over last year's totals, to roughly $26 billion; some suggest, however, that heavy discounting may hurt online merchants' bottom lines; online executives say they are using various strategies to offset impact of discounting; photo (M)",2005-11-28T05:00:00+0000
"The Supreme Court accepted an appeal by eBay Inc. in a closely watched patent case on Monday and agreed to revisit the rules under which courts grant injunctions against a company found to be infringing another's patent.     A federal court jury in Norfolk, Va., found in 2003 that eBay, the online auction house, was violating three patents owned by MercExchange, a small company in Great Falls, Va. The jury assessed more than $25 million in damages.  ",2005-11-29T05:00:00+0000
"Correction of Nov 21 review of book The Google Story; Google bans ads for brass knuckles, drug-cleansing shakes and miracle cures but information on them can be found in Google searches",2005-11-30T05:00:00+0000
Corrections,2005-11-30T05:00:00+0000
,2005-11-30T05:00:00+0000
